"V1" "V2"
"logfbar" -2.0514727031782 0.81487693161414
"logfbar" -1.91904881105479 0.882023942569312
"logfbar" -1.8381274882712 0.957377423582941
"logfbar" -2.08523434501645 1.02733657892021
"logfbar" -2.45900221659391 1.06305487437323
"logfbar" -2.66328807625495 1.09379573132729
"logfbar" -2.76481929743243 1.10167629116937
"logfbar" -2.83986289107219 1.10089810016869
"logfbar" -2.64488459847631 1.10512670254437
"logfbar" -2.59993800268867 1.11827707102147
"logfbar" -2.84334699139027 1.14087205777151
"logfbar" -2.66566290616188 1.15436396825439
"logfbar" -2.96717907677741 1.16788577167152
"logfbar" -2.99733810107066 1.18177480088812
"logfbar" -2.78985529058696 1.19125395603223
"logfbar" -2.73338648891676 1.20617919132453
"logfbar" -2.77865186484393 1.21502262829594
"logfbar" -2.77981813640554 1.21540304086817
"logfbar" -2.79607574829291 1.23102598052704
"logfbar" -2.69646696787419 1.2441366216524
"logfbar" -2.51101311384228 1.24828047495585
"logfbar" -3.43118827666853 1.24649287562989
"logfbar" -6.49545026667703 1.24437899893991
"logfbar" -7.35141529674481 1.23287845222567
"logfbar" -6.60387414802686 1.21427884456633
"logfbar" -4.38803902232968 1.19719238746779
"logfbar" -4.13248032702612 1.21172727153331
"logfbar" -3.87819018888268 1.21387700993592
"logfbar" -4.22903774155746 1.22349348982359
"logfbar" -4.36605530793543 1.22884066691623
"logfbar" -4.26006087375552 1.22726910386052
"logfbar" -4.36061873040721 1.23259375611135
"logfbar" -4.08407464756282 1.22995244655582
"logfbar" -3.8709165025705 1.22728725195021
"logfbar" -3.72041357337269 1.22977957053724
"logfbar" -3.5987734426406 1.23363898577958
"logfbar" -3.8758778149582 1.23841072302749
"logfbar" -4.42826749902276 1.24810547289569
"logfbar" -4.39721379578997 1.24426420116573
"logfbar" -4.72162181845149 1.24128905564718
"logfbar" -5.34244384450105 1.24274409703922
"logfbar" -5.34066227913624 1.23648573317565
"logfbar" -5.07305883469086 1.22894567707307
"logfbar" -5.17197678377729 1.22327461524373
"logfbar" -5.24771372696238 1.2195959893857
"logCatch" 3.95631107083208 0.0718187619548371
"logCatch" 4.13636384203978 0.0793071865655451
"logCatch" 4.28445217638568 0.0782154418287489
"logCatch" 3.77214242922731 0.0759216517797199
"logCatch" 3.58297013573985 0.0753338659024501
"logCatch" 3.69768839897219 0.0704734813420202
"logCatch" 3.6810288134927 0.0686572914116218
"logCatch" 3.99111352752547 0.0713553685191193
"logCatch" 3.71950804158103 0.0779554226628583
"logCatch" 3.73050734348287 0.078870648345974
"logCatch" 3.82491861169618 0.0786886945979764
"logCatch" 3.9546935002333 0.0831032524116058
"logCatch" 4.0158293057363 0.0813391110834995
"logCatch" 3.58142910439386 0.0767585101454251
"logCatch" 3.74376788721656 0.0766184365338949
"logCatch" 3.69723576472553 0.0764526945653623
"logCatch" 3.45868846175678 0.0858737425848727
"logCatch" 3.02783281938163 0.0894685188606695
"logCatch" 3.13154962650665 0.0879300773748827
"logCatch" 3.1508988525515 0.0839155150548412
"logCatch" 3.21680948365254 0.0902950782187685
"logCatch" 3.39975420506417 0.0886939996633458
"logCatch" 3.46692986817884 0.0871560871699018
"logCatch" 3.31904874405342 0.0791626176197711
"logCatch" 3.40727588160842 0.0816376562402145
"logCatch" 3.41229372157162 0.084855450795475
"logCatch" 3.7538149161891 0.0812278194494623
"logCatch" 3.9533825323096 0.083176475464812
"logCatch" 3.90928301613655 0.0821666566242312
"logCatch" 3.59793361594735 0.0792242084632153
"logCatch" 3.40454715969833 0.0761111193564846
"logCatch" 3.54013131423664 0.0777926478138568
"logCatch" 3.60386968459349 0.0814287695937445
"logCatch" 3.39515046971775 0.0827294633738531
"logCatch" 2.43241373971674 0.0871970449686257
"logCatch" -0.468520468311218 0.0887919858508905
"logCatch" -0.717318670814659 0.0949661797592306
"logCatch" -0.203365715201871 0.0937084985949093
"logCatch" 2.03501336493381 0.0869696969395437
"logCatch" 2.74343903458958 0.0816252667584014
"logCatch" 3.14243854712994 0.0766232507820232
"logCatch" 2.99986695815583 0.0748100187164124
"logCatch" 2.6140380698983 0.0702534363699336
"logCatch" 2.57291799681466 0.0694059037639002
"logCatch" 2.58638094370311 0.072933562459262
"logCatch" 2.53095819714974 0.0834432067181011
"logCatch" 2.47240513434169 0.0826617888368563
"logCatch" 2.35109065746503 0.0779425511285938
"logCatch" 2.36156189929633 0.0710697142080031
"logCatch" 2.31431181547323 0.0703308441816062
"logCatch" 2.06595398973791 0.0731392638152153
"logCatch" 2.00353848534615 0.0810243155385788
"logCatch" 1.81697015688821 0.0808095021302885
"logCatch" 1.41824659738734 0.0838411000571587
"logCatch" 1.32454499844404 0.0824015136314692
"logCatch" 1.65450858592222 0.0809162025758875
"logCatch" 1.59058884592611 0.0851206643169833
"logCatch" 1.66252261852888 0.0848152310249071
"logLand" 3.95631107083208 0.0718187619548371
"logLand" 4.13636384203978 0.0793071865655451
"logLand" 4.28445217638568 0.0782154418287489
"logLand" 3.77214242922731 0.0759216517797199
"logLand" 3.58297013573985 0.0753338659024501
"logLand" 3.69768839897219 0.0704734813420202
"logLand" 3.6810288134927 0.0686572914116218
"logLand" 3.99111352752547 0.0713553685191193
"logLand" 3.71950804158103 0.0779554226628583
"logLand" 3.73050734348287 0.078870648345974
"logLand" 3.82491861169618 0.0786886945979764
"logLand" 3.9546935002333 0.0831032524116058
"logLand" 4.0158293057363 0.0813391110834995
"logLand" 3.58142910439386 0.0767585101454251
"logLand" 3.74376788721656 0.0766184365338949
"logLand" 3.69723576472553 0.0764526945653623
"logLand" 3.45868846175678 0.0858737425848727
"logLand" 3.02783281938163 0.0894685188606695
"logLand" 3.13154962650665 0.0879300773748827
"logLand" 3.1508988525515 0.0839155150548412
"logLand" 3.21680948365254 0.0902950782187685
"logLand" 3.39975420506417 0.0886939996633458
"logLand" 3.46692986817884 0.0871560871699018
"logLand" 3.31904874405342 0.0791626176197711
"logLand" 3.40727588160842 0.0816376562402145
"logLand" 3.41229372157162 0.084855450795475
"logLand" 3.7538149161891 0.0812278194494623
"logLand" 3.9533825323096 0.083176475464812
"logLand" 3.90928301613655 0.0821666566242312
"logLand" 3.59793361594735 0.0792242084632153
"logLand" 3.40454715969833 0.0761111193564846
"logLand" 3.54013131423664 0.0777926478138568
"logLand" 3.60386968459349 0.0814287695937445
"logLand" 3.39515046971775 0.0827294633738531
"logLand" 2.43241373971674 0.0871970449686257
"logLand" -0.468520468311218 0.0887919858508905
"logLand" -0.717318670814659 0.0949661797592306
"logLand" -0.203365715201871 0.0937084985949093
"logLand" 2.03501336493381 0.0869696969395437
"logLand" 2.74343903458958 0.0816252667584014
"logLand" 3.14243854712994 0.0766232507820232
"logLand" 2.99986695815583 0.0748100187164124
"logLand" 2.6140380698983 0.0702534363699336
"logLand" 2.57291799681466 0.0694059037639002
"logLand" 2.58638094370311 0.072933562459262
"logLand" 2.53095819714974 0.0834432067181011
"logLand" 2.47240513434169 0.0826617888368563
"logLand" 2.35109065746503 0.0779425511285938
"logLand" 2.36156189929633 0.0710697142080031
"logLand" 2.31431181547323 0.0703308441816062
"logLand" 2.06595398973791 0.0731392638152153
"logLand" 2.00353848534615 0.0810243155385788
"logLand" 1.81697015688821 0.0808095021302885
"logLand" 1.41824659738734 0.0838411000571587
"logLand" 1.32454499844404 0.0824015136314692
"logLand" 1.65450858592222 0.0809162025758875
"logLand" 1.59058884592611 0.0851206643169833
