"V1" "V2"
"logLand" 2.43716801608371 0.0854598013431925
"logLand" -0.474846883682918 0.0871742816105786
"logLand" -0.714309520166706 0.0933465703772601
"logLand" -0.207111193860003 0.0920156809194813
"logLand" 2.03733104202018 0.0853974947918927
"logLand" 2.74373195924576 0.0801253633440267
"logLand" 3.14253432113862 0.0751288213504136
"logLand" 2.99963383807542 0.073398075044542
"logLand" 2.61351366925773 0.0688903363160499
"logLand" 2.56996614175233 0.0679956560269382
"logLand" 2.5835810889944 0.0714093697652775
"logLand" 2.5234916303802 0.0816006050612644
"logLand" 2.47768366863413 0.0810447133158345
"logLand" 2.35236779996322 0.0764288101911768
"logLand" 2.36379929425087 0.0697742642714546
"logLand" 2.3166175045076 0.0689339376956018
"logLand" 2.06588718018053 0.0717778794953907
"logLand" 1.99907484456061 0.0793839878822961
"logLand" 1.81740290594009 0.0793000842278837
"logLand" 1.41943842300039 0.0823164543357958
"logLand" 1.32148420515059 0.0807691363718289
"logLand" 1.65669181840554 0.0793823805760036
"logLand" 1.5913751087074 0.083589727143988
"logLand" 1.66123019623882 0.0831147785429086
"logtsb" 5.0245485543423 0.144645504517645
"logtsb" 4.98855037820681 0.147607631683189
"logtsb" 4.99046093346433 0.147711498354555
"logtsb" 5.04829502699853 0.175322949431713
"logtsb" 5.14358517550425 0.208848572458571
"logtsb" 5.21044128812088 0.29776466237253
"logtsb" 5.38532395330025 0.378317775107782
"logtsb" 5.48822101328943 0.465391216504996
"logtsb" 5.6479476804574 0.565058236452264
"logtsb" 5.71731657237357 0.679528436493134
"logtsb" 5.76709536661594 0.811854090159926
"logtsb" 5.98353633936947 0.886947721472884
"logtsb" 6.12890840985733 0.96020125383152
"logtsb" 6.39638138497321 1.03518260998055
"logtsb" 6.54153109199908 1.04733755324076
"logtsb" 6.74348744597154 1.08145328469325
"logtsb" 6.89498868775747 1.10589694057132
"logtsb" 7.12256643304609 1.11821186202575
"logtsb" 7.27161531687498 1.13431643015496
"logtsb" 7.46383062663281 1.14818268226086
"logtsb" 7.68348450841371 1.16449023061966
"logtsb" 7.89269762257273 1.17100402154239
"logtsb" 7.99381643118525 1.17513790457287
"logtsb" 8.25554814099714 1.18272993825463
"logtsb" 8.35935294403439 1.18518507521153
"logtsb" 8.31074779955063 1.18803739655552
"logtsb" 8.1297345345332 1.1897177720685
"logtsb" 7.88752655666701 1.18540757399708
"logtsb" 7.77449582210027 1.18294651802933
"logtsb" 7.54660669665444 1.18112213745576
"logtsb" 6.99411486588214 1.16827772776355
"logtsb" 6.7613759450436 1.17012348304167
"logtsb" 6.70621663544475 1.17176486921899
"logtsb" 6.96710853099069 1.1713477869396
"logtsb" 6.76993854446786 1.16295863183152
"logtsb" 6.80101317396549 1.14968234027617
"logtsb" 7.15986047305538 1.16299751271519
"logtsb" 7.25405542879932 1.16569570309617
"logtsb" 7.49515062733276 1.18167533634403
"logtsb" 7.55140728930902 1.18818107318136
"logtsb" 7.46591692061939 1.17983359464777
"logtsb" 7.43034235365534 1.18403044184775
"logtsb" 7.30902237535217 1.19041382310938
"logtsb" 7.10891939072702 1.18794324477121
"logtsb" 6.91326605202154 1.1892645994651
"logtsb" 6.84109802598272 1.19155953107264
"logtsb" 6.77646797166669 1.18534113088719
"logtsb" 6.85945845673077 1.19032907178527
"logtsb" 6.65495370013392 1.17115598102376
"logtsb" 6.58938400152093 1.15855486530917
"logtsb" 6.59881588806538 1.15971915431486
"logtsb" 6.64734495407768 1.15048751141379
"logtsb" 6.55601703655798 1.14439988914986
"logtsb" 6.58935370978206 1.13799098665107
"logtsb" 6.63547575177345 1.13624075536073
"logR" 4.38021742008851 0.455006163431404
"logR" 4.60894361928822 0.422961471782898
"logR" 4.7291291086101 0.434126813144561
