"","Year","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16"
"11",1964,3.75652754635749e-06,0.000178817621312406,0.00174062429908507,0.00796750265363295,0.0352243789356867,0.14046974085466,0.418386836357433,0.754208878917807,0.958534732964175,0.995947569012839,0.999914927840443,0.999997920818042,0.999999495632246,0.999999885931039,0.999999994653254,0.999999994653254
"12",1965,4.02153696839568e-06,0.000199394188081533,0.00198767671508892,0.00923665912812429,0.041285281907618,0.163760896252413,0.46683073867743,0.791340216864388,0.966872295711896,0.996866514934489,0.999936906833547,0.999998517254389,0.999999645652512,0.999999921107379,0.999999996419596,0.999999996419596
"13",1966,4.09485497850642e-06,0.000214084168027787,0.00220144616017814,0.0104363948837598,0.04738211041727,0.18757979732511,0.513038761323722,0.823170305508763,0.973567478771002,0.997594521065634,0.999954102620485,0.999998974971616,0.999999759755445,0.99999994759197,0.999999997719408,0.999999997719408
"14",1967,3.65817682136504e-06,0.000207813330268319,0.00224404962437428,0.0109877551750915,0.0513496093032684,0.206031762524864,0.550037155678496,0.847846353053499,0.978743530978303,0.998170062539893,0.999967887367157,0.999999337826863,0.999999849454674,0.999999968192059,0.99999999870396,0.99999999870396
"15",1968,2.87979266354623e-06,0.000182398898456122,0.0021002976659726,0.0107370118049591,0.0522979629001291,0.216274593324011,0.575433470682546,0.865516982158833,0.982545534077651,0.998598971426859,0.999977960190836,0.999999590636062,0.999999910569923,0.999999981879371,0.999999999322622,0.999999999322622
"16",1969,2.13316956050778e-06,0.000152569004328585,0.00188759981790441,0.0101286199660318,0.0517397071260682,0.222407508622893,0.595436354782431,0.879737181605229,0.985544497325219,0.998925754741944,0.9999850412101,0.999999752772675,0.999999948343763,0.999999990011333,0.999999999660873,0.999999999660873
"17",1970,1.51407227535097e-06,0.000123277631389734,0.00164663967297521,0.00930569605310384,0.0500601749762,0.225101720319008,0.611047154518311,0.891275774659538,0.98791654697993,0.999172279599952,0.999989879039307,0.999999852313145,0.999999970574023,0.999999994586758,0.999999999834147,0.999999999834147
"18",1971,1.11779430313759e-06,0.000102232373119148,0.00146261704799819,0.0086585148922264,0.0487835651368635,0.22824302534756,0.625797102229234,0.901143715849312,0.989755122284743,0.999347502291521,0.999992899261859,0.99999990733381,0.999999982307005,0.999999996887544,0.999999999913028,0.999999999913028
"19",1972,8.45782429365523e-07,8.60307292430732e-05,0.00131058812491611,0.00809489492582369,0.0475814072303566,0.230900216452642,0.638769733419215,0.909348878918211,0.991180704225492,0.999474358555559,0.999994857852092,0.999999939408783,0.999999988873357,0.999999998121103,0.999999999951737,0.999999999951737
"20",1973,6.05397074669394e-07,6.91897867182267e-05,0.00112915534265359,0.00730752992090698,0.0450444447645758,0.22873200650387,0.646222495802455,0.915437217214782,0.992301915918388,0.999573196413428,0.999996284799821,0.999999960859102,0.999999993112963,0.999999998888011,0.999999999973955,0.999999999973955
