"V1" "V2"
"logCatch" 3.58338885858555 0.0743153804694295
"logCatch" 3.69781081971436 0.069463597121318
"logCatch" 3.68077771891579 0.0676836415412043
"logCatch" 3.99202523845814 0.0703683445301648
"logCatch" 3.71941747831434 0.0768776553424802
"logCatch" 3.73130743678353 0.0777804899335507
"logCatch" 3.82467921756135 0.0775697073047738
"logCatch" 3.95542892343336 0.0819940944055625
"logCatch" 4.0156766741635 0.0802179112153839
"logCatch" 3.58100125067912 0.0757146895420261
"logCatch" 3.74430136543911 0.0755806217560849
"logCatch" 3.69685602817652 0.0754010283530025
"logCatch" 3.46106235028155 0.0848094030160619
"logCatch" 3.02934814749056 0.0882833798118876
"logCatch" 3.13128587463099 0.0867801711027293
"logCatch" 3.15016730971699 0.0827554170156344
"logCatch" 3.21816596029505 0.0891446436414838
"logCatch" 3.39989560263106 0.0875327299701912
"logCatch" 3.46739207758242 0.0859861439960398
"logCatch" 3.32020379858598 0.0781190511889145
"logCatch" 3.40708879676986 0.08052567531431
"logCatch" 3.41333239235537 0.0837678172103119
"logCatch" 3.75464456179227 0.0801415056177427
"logCatch" 3.95368116485811 0.0820611454605143
"logCatch" 3.909520059634 0.0810604036297871
"logCatch" 3.59822662788266 0.078153272418501
"logCatch" 3.40465835275875 0.0750913050046898
"logCatch" 3.53880736594839 0.0766312621572623
"logCatch" 3.60280835537389 0.0801707681253519
"logCatch" 3.39395461863853 0.0815481427633165
"logCatch" 2.43472202808981 0.0859216358643099
"logCatch" -0.471564043425962 0.0876872544802619
"logCatch" -0.714711516988598 0.0937418181384405
"logCatch" -0.205012245221608 0.0925171029738943
"logCatch" 2.03570318585869 0.0858620459960393
"logCatch" 2.74330940916415 0.0805303509679771
"logCatch" 3.14207485630683 0.075535679379721
"logCatch" 2.99902643914021 0.0737981160955186
"logCatch" 2.61378747336433 0.0692743787991329
"logCatch" 2.56991953499089 0.068373116567179
"logCatch" 2.58360510630059 0.0718176908508825
"logCatch" 2.52416821063021 0.0820105421416318
"logCatch" 2.47746279969137 0.0814585808558387
"logCatch" 2.35202251933613 0.0768320354148367
"logCatch" 2.36453270812142 0.0701954955906837
"logCatch" 2.31626083175938 0.0693239750484091
"logCatch" 2.06539986138813 0.0721411121380982
"logCatch" 1.99962172793407 0.0797875927269923
"logCatch" 1.81734659139296 0.0797080108574215
"logCatch" 1.4193577020122 0.0827269352591858
"logCatch" 1.32252953393366 0.0812167726189708
"logCatch" 1.65596734301343 0.0798024313798151
"logCatch" 1.59057681655777 0.0840105792917124
"logCatch" 1.66101624503275 0.0836178565588618
"logLand" 3.956589359054 0.0707668350488847
"logLand" 4.13674398462 0.0782556309742227
"logLand" 4.28547172783834 0.0771318123138819
"logLand" 3.77171162241691 0.0748656536142938
"logLand" 3.58338885858555 0.0743153804694295
"logLand" 3.69781081971436 0.069463597121318
"logLand" 3.68077771891579 0.0676836415412043
"logLand" 3.99202523845814 0.0703683445301648
"logLand" 3.71941747831434 0.0768776553424802
"logLand" 3.73130743678353 0.0777804899335507
"logLand" 3.82467921756135 0.0775697073047738
"logLand" 3.95542892343336 0.0819940944055625
"logLand" 4.0156766741635 0.0802179112153839
"logLand" 3.58100125067912 0.0757146895420261
"logLand" 3.74430136543911 0.0755806217560849
"logLand" 3.69685602817652 0.0754010283530025
"logLand" 3.46106235028155 0.0848094030160619
"logLand" 3.02934814749056 0.0882833798118876
"logLand" 3.13128587463099 0.0867801711027293
"logLand" 3.15016730971699 0.0827554170156344
"logLand" 3.21816596029505 0.0891446436414838
"logLand" 3.39989560263106 0.0875327299701912
"logLand" 3.46739207758242 0.0859861439960398
"logLand" 3.32020379858598 0.0781190511889145
"logLand" 3.40708879676986 0.08052567531431
"logLand" 3.41333239235537 0.0837678172103119
"logLand" 3.75464456179227 0.0801415056177427
"logLand" 3.95368116485811 0.0820611454605143
